Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
4,468750E+2	1,541284E+0	4,468750E+2	-6,435965E+0	4,468750E+2	4,006968E+0	4,468750E+2	2,641715E+0
4,484375E+2	9,726423E-1	4,484375E+2	-6,262052E+0	4,484375E+2	4,051059E+0	4,484375E+2	2,590328E+0
4,500000E+2	3,778605E-1	4,500000E+2	-6,094837E+0	4,500000E+2	4,098967E+0	4,500000E+2	2,539688E+0
4,515625E+2	-1,286730E-1	4,515625E+2	-5,209636E+0	4,515625E+2	4,171221E+0	4,515625E+2	2,731205E+0
4,531250E+2	-6,527300E-1	4,531250E+2	-4,427395E+0	4,531250E+2	4,337981E+0	4,531250E+2	2,939496E+0
4,546875E+2	-8,779487E-1	4,546875E+2	-2,954377E+0	4,546875E+2	4,631173E+0	4,546875E+2	3,092263E+0
4,562500E+2	-1,104105E+0	4,562500E+2	-1,752478E+0	4,562500E+2	4,939145E+0	4,562500E+2	3,244456E+0
4,578125E+2	-6,311318E-1	4,578125E+2	-1,282462E+0	4,578125E+2	5,058108E+0	4,578125E+2	3,284092E+0
4,593750E+2	-2,021313E-1	4,593750E+2	-8,549069E-1	4,593750E+2	5,178941E+0	4,593750E+2	3,322440E+0
4,609375E+2	3,969234E-1	4,609375E+2	-5,948321E-1	4,609375E+2	5,235552E+0	4,609375E+2	3,262844E+0
4,625000E+2	9,239497E-1	4,625000E+2	-3,536096E-1	4,625000E+2	5,293908E+0	4,625000E+2	3,201523E+0
4,640625E+2	6,343110E-1	4,640625E+2	-5,185407E-1	4,640625E+2	5,335380E+0	4,640625E+2	2,864942E+0
4,656250E+2	3,455166E-1	4,656250E+2	-6,796557E-1	4,656250E+2	5,378709E+0	4,656250E+2	2,519897E+0
4,671875E+2	8,169673E-2	4,671875E+2	-8,689115E-1	4,671875E+2	5,348756E+0	4,671875E+2	2,121278E+0
4,687500E+2	-1,796008E-1	4,687500E+2	-1,054941E+0	4,687500E+2	5,319271E+0	4,687500E+2	1,712163E+0
4,703125E+2	-4,092203E-1	4,703125E+2	-1,065521E+0	4,703125E+2	5,157551E+0	4,703125E+2	1,547327E+0
4,718750E+2	-6,351101E-1	4,718750E+2	-1,079151E+0	4,718750E+2	4,990332E+0	4,718750E+2	1,383213E+0
4,734375E+2	-8,449027E-1	4,734375E+2	-1,054922E+0	4,734375E+2	4,827542E+0	4,734375E+2	1,279285E+0
4,750000E+2	-1,050287E+0	4,750000E+2	-1,034694E+0	4,750000E+2	4,667338E+0	4,750000E+2	1,176270E+0
4,765625E+2	-1,267974E+0	4,765625E+2	-9,526953E-1	4,765625E+2	4,597706E+0	4,765625E+2	1,002853E+0
4,781250E+2	-1,478697E+0	4,781250E+2	-8,808040E-1	4,781250E+2	4,533908E+0	4,781250E+2	8,292899E-1
4,796875E+2	-1,522295E+0	4,796875E+2	-8,228587E-1	4,796875E+2	4,487331E+0	4,796875E+2	6,408684E-1
4,812500E+2	-1,566053E+0	4,812500E+2	-7,777064E-1	4,812500E+2	4,442657E+0	4,812500E+2	4,522987E-1
4,828125E+2	-1,423025E+0	4,828125E+2	-8,615135E-1	4,828125E+2	4,351399E+0	4,828125E+2	3,303284E-1
4,843750E+2	-1,298550E+0	4,843750E+2	-9,493550E-1	4,843750E+2	4,258114E+0	4,843750E+2	2,091240E-1
4,859375E+2	-1,119507E+0	4,859375E+2	-1,115233E+0	4,859375E+2	4,114388E+0	4,859375E+2	1,330187E-1
4,875000E+2	-9,668019E-1	4,875000E+2	-1,279450E+0	4,875000E+2	3,968112E+0	4,875000E+2	5,753544E-2
4,890625E+2	-6,674439E-1	4,890625E+2	-1,347890E+0	4,890625E+2	3,837054E+0	4,890625E+2	6,379940E-3
4,906250E+2	-4,195728E-1	4,906250E+2	-1,419738E+0	4,906250E+2	3,705226E+0	4,906250E+2	-4,417555E-2
4,921875E+2	-2,698375E-1	4,921875E+2	-1,282510E+0	4,921875E+2	3,605031E+0	4,921875E+2	-1,143030E-1
4,937500E+2	-1,519219E-1	4,937500E+2	-1,168418E+0	4,937500E+2	3,505500E+0	4,937500E+2	-1,832403E-1
4,953125E+2	-3,015335E-1	4,953125E+2	-9,302260E-1	4,953125E+2	3,473722E+0	4,953125E+2	-1,862743E-1
4,968750E+2	-4,468826E-1	4,968750E+2	-7,347610E-1	4,968750E+2	3,461111E+0	4,968750E+2	-1,932100E-1
4,984375E+2	-6,189533E-1	4,984375E+2	-6,874398E-1	4,984375E+2	3,303277E+0	4,984375E+2	-1,466659E-1
5,000000E+2	-7,804610E-1	5,000000E+2	-6,613332E-1	5,000000E+2	3,143019E+0	5,000000E+2	-1,105311E-1
5,015625E+2	-6,738890E-1	5,015625E+2	-9,483802E-1	5,015625E+2	3,084798E+0	5,015625E+2	-8,699067E-2
5,031250E+2	-5,962917E-1	5,031250E+2	-1,215241E+0	5,031250E+2	3,028015E+0	5,031250E+2	-7,557866E-2
