Sample 1_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 2_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 3_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 4_Frequency [Hz]	Absorption Coefficient on Hard Wall	
5,906250E+2	5,709126E-2	5,906250E+2	1,164081E-1	5,906250E+2	7,729235E-2	5,906250E+2	1,342020E-1
5,921875E+2	6,121332E-2	5,921875E+2	1,165854E-1	5,921875E+2	9,145217E-2	5,921875E+2	1,384664E-1
5,937500E+2	6,636858E-2	5,937500E+2	1,162254E-1	5,937500E+2	1,050153E-1	5,937500E+2	1,419138E-1
5,953125E+2	6,935525E-2	5,953125E+2	1,144356E-1	5,953125E+2	1,567973E-1	5,953125E+2	1,370647E-1
5,968750E+2	7,304422E-2	5,968750E+2	1,123081E-1	5,968750E+2	1,706790E-1	5,968750E+2	1,317461E-1
5,984375E+2	8,029294E-2	5,984375E+2	1,111286E-1	5,984375E+2	1,658640E-1	5,984375E+2	1,289758E-1
6,000000E+2	8,782383E-2	6,000000E+2	1,097500E-1	6,000000E+2	1,599964E-1	6,000000E+2	1,259036E-1
6,015625E+2	9,773856E-2	6,015625E+2	1,050832E-1	6,015625E+2	1,553003E-1	6,015625E+2	1,239603E-1
6,031250E+2	1,075579E-1	6,031250E+2	1,003698E-1	6,031250E+2	1,500401E-1	6,031250E+2	1,218317E-1
6,046875E+2	1,131215E-1	6,046875E+2	9,938953E-2	6,046875E+2	1,484256E-1	6,046875E+2	1,203397E-1
6,062500E+2	1,186228E-1	6,062500E+2	9,835310E-2	6,062500E+2	1,464891E-1	6,062500E+2	1,187470E-1
6,078125E+2	1,259801E-1	6,078125E+2	9,734135E-2	6,078125E+2	1,455104E-1	6,078125E+2	1,175767E-1
6,093750E+2	1,329743E-1	6,093750E+2	9,641355E-2	6,093750E+2	1,443497E-1	6,093750E+2	1,163726E-1
6,109375E+2	1,282164E-1	6,109375E+2	9,456450E-2	6,109375E+2	1,415616E-1	6,109375E+2	1,156580E-1
6,125000E+2	1,088107E-1	6,125000E+2	9,322765E-2	6,125000E+2	1,387208E-1	6,125000E+2	1,148371E-1
6,140625E+2	1,121454E-1	6,140625E+2	1,025502E-1	6,140625E+2	1,386856E-1	6,140625E+2	1,135214E-1
