Sample 1 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	
4,171875E+2	3,585216E+1	4,171875E+2	-3,331665E+2	4,171875E+2	1,268082E+1	4,171875E+2	-3,098888E+2	4,171875E+2	6,600459E+1	4,171875E+2	-2,394177E+2	4,171875E+2	6,910572E+0	4,171875E+2	-2,594281E+2
4,187500E+2	3,580298E+1	4,187500E+2	-3,302032E+2	4,187500E+2	1,252459E+1	4,187500E+2	-3,075660E+2	4,187500E+2	7,326897E+1	4,187500E+2	-2,347538E+2	4,187500E+2	1,507742E+1	4,187500E+2	-2,614238E+2
4,203125E+2	3,492906E+1	4,203125E+2	-3,275011E+2	4,203125E+2	1,218082E+1	4,203125E+2	-3,052064E+2	4,203125E+2	7,601694E+1	4,203125E+2	-2,325055E+2	4,203125E+2	2,203187E+1	4,203125E+2	-2,660093E+2
4,218750E+2	3,405639E+1	4,218750E+2	-3,248182E+2	4,218750E+2	1,184912E+1	4,218750E+2	-3,029156E+2	4,218750E+2	7,849866E+1	4,218750E+2	-2,303499E+2	4,218750E+2	2,912466E+1	4,218750E+2	-2,700358E+2
4,234375E+2	2,984944E+1	4,234375E+2	-3,236172E+2	4,234375E+2	1,122541E+1	4,234375E+2	-3,003759E+2	4,234375E+2	8,001079E+1	4,234375E+2	-2,287192E+2	4,234375E+2	3,991270E+1	4,234375E+2	-2,746100E+2
4,250000E+2	2,546391E+1	4,250000E+2	-3,221111E+2	4,250000E+2	1,064677E+1	4,250000E+2	-2,979211E+2	4,250000E+2	8,130706E+1	4,250000E+2	-2,271716E+2	4,250000E+2	5,088767E+1	4,250000E+2	-2,783997E+2
4,265625E+2	1,785536E+1	4,265625E+2	-3,286287E+2	4,265625E+2	9,930350E+0	4,265625E+2	-2,953762E+2	4,265625E+2	8,279230E+1	4,265625E+2	-2,278350E+2	4,265625E+2	1,144172E+2	4,265625E+2	-3,684289E+2
4,281250E+2	1,001742E+1	4,281250E+2	-3,343745E+2	4,281250E+2	9,222898E+0	4,281250E+2	-2,928903E+2	4,281250E+2	8,415362E+1	4,281250E+2	-2,284859E+2	4,281250E+2	2,154873E+2	4,281250E+2	-4,519741E+2
4,296875E+2	7,694237E+0	4,296875E+2	-3,348738E+2	4,296875E+2	8,695028E+0	4,296875E+2	-2,904867E+2	4,296875E+2	8,479198E+1	4,296875E+2	-2,310772E+2	4,296875E+2	2,114798E+2	4,296875E+2	-4,472364E+2
4,312500E+2	5,391542E+0	4,312500E+2	-3,352740E+2	4,312500E+2	8,146400E+0	4,312500E+2	-2,881421E+2	4,312500E+2	8,545294E+1	4,312500E+2	-2,336278E+2	4,312500E+2	2,075062E+2	4,312500E+2	-4,425030E+2
4,328125E+2	8,506358E+0	4,328125E+2	-3,327075E+2	4,328125E+2	1,312324E+1	4,328125E+2	-2,927770E+2	4,328125E+2	8,795057E+1	4,328125E+2	-2,343784E+2	4,328125E+2	1,819477E+2	4,328125E+2	-4,220433E+2
4,343750E+2	1,191064E+1	4,343750E+2	-3,309568E+2	4,343750E+2	1,869979E+1	4,343750E+2	-2,992777E+2	4,343750E+2	9,023887E+1	4,343750E+2	-2,350820E+2	4,343750E+2	1,510167E+2	4,343750E+2	-4,037801E+2
4,359375E+2	1,870808E+1	4,359375E+2	-3,232062E+2	4,359375E+2	6,881082E+0	4,359375E+2	-3,134007E+2	4,359375E+2	9,803157E+1	4,359375E+2	-2,328286E+2	4,359375E+2	1,471569E+2	4,359375E+2	-4,016014E+2
4,375000E+2	2,579546E+1	4,375000E+2	-3,166282E+2	4,375000E+2	-4,917518E+0	4,375000E+2	-3,260929E+2	4,375000E+2	1,051029E+2	4,375000E+2	-2,302143E+2	4,375000E+2	1,433672E+2	4,375000E+2	-3,993803E+2
4,390625E+2	2,601793E+1	4,390625E+2	-3,136765E+2	4,390625E+2	-6,414684E+0	4,390625E+2	-3,238325E+2	4,390625E+2	1,088814E+2	4,390625E+2	-2,311141E+2	4,390625E+2	1,395085E+2	4,390625E+2	-3,972489E+2
4,406250E+2	2,627918E+1	4,406250E+2	-3,108844E+2	4,406250E+2	-7,907725E+0	4,406250E+2	-3,215746E+2	4,406250E+2	1,124992E+2	4,406250E+2	-2,318008E+2	4,406250E+2	1,357236E+2	4,406250E+2	-3,950780E+2
4,421875E+2	2,683388E+1	4,421875E+2	-3,083555E+2	4,421875E+2	-9,020878E+0	4,421875E+2	-3,189394E+2	4,421875E+2	1,147966E+2	4,421875E+2	-2,330920E+2	4,421875E+2	1,319600E+2	4,421875E+2	-3,928964E+2
4,437500E+2	2,741542E+1	4,437500E+2	-3,059509E+2	4,437500E+2	-1,014823E+1	4,437500E+2	-3,163278E+2	4,437500E+2	1,169736E+2	4,437500E+2	-2,341961E+2	4,437500E+2	1,282529E+2	4,437500E+2	-3,906811E+2
4,453125E+2	1,816068E+1	4,453125E+2	-3,279358E+2	4,453125E+2	7,558507E+0	4,453125E+2	-2,858043E+2	4,453125E+2	1,157995E+2	4,453125E+2	-2,363230E+2	4,453125E+2	1,246381E+2	4,453125E+2	-3,885141E+2
