Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,718750E+2	1,000123E+2	3,718750E+2	1,099901E+2	3,718750E+2	1,200006E+2	3,718750E+2	1,300030E+2	3,718750E+2	1,399922E+2	3,718750E+2	1,449851E+2	3,718750E+2	9,559890E+1	3,718750E+2	1,061546E+2	3,718750E+2	1,162332E+2	3,718750E+2	1,258288E+2	3,718750E+2	1,352864E+2	3,718750E+2	1,399702E+2
3,734375E+2	9,998309E+1	3,734375E+2	1,099986E+2	3,734375E+2	1,200027E+2	3,734375E+2	1,300031E+2	3,734375E+2	1,399982E+2	3,734375E+2	1,449880E+2	3,734375E+2	9,541811E+1	3,734375E+2	1,060329E+2	3,734375E+2	1,162062E+2	3,734375E+2	1,258655E+2	3,734375E+2	1,353522E+2	3,734375E+2	1,400438E+2
3,750000E+2	9,995375E+1	3,750000E+2	1,100071E+2	3,750000E+2	1,200048E+2	3,750000E+2	1,300032E+2	3,750000E+2	1,400041E+2	3,750000E+2	1,449908E+2	3,750000E+2	9,523348E+1	3,750000E+2	1,059095E+2	3,750000E+2	1,161791E+2	3,750000E+2	1,259021E+2	3,750000E+2	1,354175E+2	3,750000E+2	1,401169E+2
3,765625E+2	9,993914E+1	3,765625E+2	1,100102E+2	3,765625E+2	1,200061E+2	3,765625E+2	1,300043E+2	3,765625E+2	1,400042E+2	3,765625E+2	1,449877E+2	3,765625E+2	9,506773E+1	3,765625E+2	1,057878E+2	3,765625E+2	1,161496E+2	3,765625E+2	1,259379E+2	3,765625E+2	1,354802E+2	3,765625E+2	1,401857E+2
3,781250E+2	9,992451E+1	3,781250E+2	1,100132E+2	3,781250E+2	1,200073E+2	3,781250E+2	1,300053E+2	3,781250E+2	1,400042E+2	3,781250E+2	1,449845E+2	3,781250E+2	9,489876E+1	3,781250E+2	1,056645E+2	3,781250E+2	1,161200E+2	3,781250E+2	1,259736E+2	3,781250E+2	1,355425E+2	3,781250E+2	1,402540E+2
3,796875E+2	9,991871E+1	3,796875E+2	1,100119E+2	3,796875E+2	1,200073E+2	3,796875E+2	1,300037E+2	3,796875E+2	1,400035E+2	3,796875E+2	1,449837E+2	3,796875E+2	9,475064E+1	3,796875E+2	1,055412E+2	3,796875E+2	1,160895E+2	3,796875E+2	1,260099E+2	3,796875E+2	1,356040E+2	3,796875E+2	1,403222E+2
3,812500E+2	9,991292E+1	3,812500E+2	1,100106E+2	3,812500E+2	1,200073E+2	3,812500E+2	1,300021E+2	3,812500E+2	1,400027E+2	3,812500E+2	1,449828E+2	3,812500E+2	9,459995E+1	3,812500E+2	1,054162E+2	3,812500E+2	1,160588E+2	3,812500E+2	1,260460E+2	3,812500E+2	1,356650E+2	3,812500E+2	1,403898E+2
3,828125E+2	9,991277E+1	3,828125E+2	1,100027E+2	3,828125E+2	1,200074E+2	3,828125E+2	1,300032E+2	3,828125E+2	1,400003E+2	3,828125E+2	1,449879E+2	3,828125E+2	9,445896E+1	3,828125E+2	1,053031E+2	3,828125E+2	1,160298E+2	3,828125E+2	1,260802E+2	3,828125E+2	1,357274E+2	3,828125E+2	1,404598E+2
3,843750E+2	9,991262E+1	3,843750E+2	1,099948E+2	3,843750E+2	1,200074E+2	3,843750E+2	1,300044E+2	3,843750E+2	1,399978E+2	3,843750E+2	1,449930E+2	3,843750E+2	9,431565E+1	3,843750E+2	1,051886E+2	3,843750E+2	1,160006E+2	3,843750E+2	1,261143E+2	3,843750E+2	1,357894E+2	3,843750E+2	1,405292E+2
3,859375E+2	9,991599E+1	3,859375E+2	1,099860E+2	3,859375E+2	1,200065E+2	3,859375E+2	1,300028E+2	3,859375E+2	1,399999E+2	3,859375E+2	1,449895E+2	3,859375E+2	9,420873E+1	3,859375E+2	1,050817E+2	3,859375E+2	1,159710E+2	3,859375E+2	1,261478E+2	3,859375E+2	1,358489E+2	3,859375E+2	1,405946E+2
3,875000E+2	9,991937E+1	3,875000E+2	1,099771E+2	3,875000E+2	1,200055E+2	3,875000E+2	1,300011E+2	3,875000E+2	1,400021E+2	3,875000E+2	1,449861E+2	3,875000E+2	9,410048E+1	3,875000E+2	1,049735E+2	3,875000E+2	1,159413E+2	3,875000E+2	1,261812E+2	3,875000E+2	1,359079E+2	3,875000E+2	1,406595E+2
3,890625E+2	9,993276E+1	3,890625E+2	1,099719E+2	3,890625E+2	1,200028E+2	3,890625E+2	1,300016E+2	3,890625E+2	1,400007E+2	3,890625E+2	1,449870E+2	3,890625E+2	9,402517E+1	3,890625E+2	1,048695E+2	3,890625E+2	1,159125E+2	3,890625E+2	1,262149E+2	3,890625E+2	1,359671E+2	3,890625E+2	1,407229E+2
