Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,687500E+2	9,989695E+1	3,687500E+2	1,099565E+2	3,687500E+2	1,200063E+2	3,687500E+2	1,300421E+2	3,687500E+2	1,397415E+2	3,687500E+2	1,447122E+2	3,687500E+2	9,057910E+1	3,687500E+2	1,008241E+2	3,687500E+2	1,117732E+2	3,687500E+2	1,230998E+2	3,687500E+2	1,334756E+2	3,687500E+2	1,384431E+2
3,703125E+2	9,990787E+1	3,703125E+2	1,099668E+2	3,703125E+2	1,200454E+2	3,703125E+2	1,300724E+2	3,703125E+2	1,394074E+2	3,703125E+2	1,443823E+2	3,703125E+2	9,082065E+1	3,703125E+2	1,010319E+2	3,703125E+2	1,119068E+2	3,703125E+2	1,232045E+2	3,703125E+2	1,335728E+2	3,703125E+2	1,385447E+2
3,718750E+2	9,991878E+1	3,718750E+2	1,099771E+2	3,718750E+2	1,200843E+2	3,718750E+2	1,301025E+2	3,718750E+2	1,390600E+2	3,718750E+2	1,440393E+2	3,718750E+2	9,105566E+1	3,718750E+2	1,012349E+2	3,718750E+2	1,120384E+2	3,718750E+2	1,233079E+2	3,718750E+2	1,336689E+2	3,718750E+2	1,386452E+2
3,734375E+2	9,995325E+1	3,734375E+2	1,099789E+2	3,734375E+2	1,200784E+2	3,734375E+2	1,300869E+2	3,734375E+2	1,396178E+2	3,734375E+2	1,446398E+2	3,734375E+2	9,129539E+1	3,734375E+2	1,014321E+2	3,734375E+2	1,121700E+2	3,734375E+2	1,233921E+2	3,734375E+2	1,337663E+2	3,734375E+2	1,387466E+2
3,750000E+2	9,998759E+1	3,750000E+2	1,099807E+2	3,750000E+2	1,200726E+2	3,750000E+2	1,300712E+2	3,750000E+2	1,401419E+2	3,750000E+2	1,452015E+2	3,750000E+2	9,152867E+1	3,750000E+2	1,016249E+2	3,750000E+2	1,122996E+2	3,750000E+2	1,234755E+2	3,750000E+2	1,338627E+2	3,750000E+2	1,388469E+2
3,765625E+2	1,000152E+2	3,765625E+2	1,099747E+2	3,765625E+2	1,200676E+2	3,765625E+2	1,300349E+2	3,765625E+2	1,400879E+2	3,765625E+2	1,451384E+2	3,765625E+2	9,169486E+1	3,765625E+2	1,018039E+2	3,765625E+2	1,124218E+2	3,765625E+2	1,235592E+2	3,765625E+2	1,339550E+2	3,765625E+2	1,389426E+2
3,781250E+2	1,000428E+2	3,781250E+2	1,099687E+2	3,781250E+2	1,200627E+2	3,781250E+2	1,299985E+2	3,781250E+2	1,400336E+2	3,781250E+2	1,450749E+2	3,781250E+2	9,185792E+1	3,781250E+2	1,019794E+2	3,781250E+2	1,125424E+2	3,781250E+2	1,236421E+2	3,781250E+2	1,340463E+2	3,781250E+2	1,390372E+2
3,796875E+2	1,000611E+2	3,796875E+2	1,099610E+2	3,796875E+2	1,200490E+2	3,796875E+2	1,299902E+2	3,796875E+2	1,399991E+2	3,796875E+2	1,450072E+2	3,796875E+2	9,200271E+1	3,796875E+2	1,021326E+2	3,796875E+2	1,126778E+2	3,796875E+2	1,237235E+2	3,796875E+2	1,341348E+2	3,796875E+2	1,391288E+2
3,812500E+2	1,000795E+2	3,812500E+2	1,099533E+2	3,812500E+2	1,200354E+2	3,812500E+2	1,299819E+2	3,812500E+2	1,399646E+2	3,812500E+2	1,449390E+2	3,812500E+2	9,214513E+1	3,812500E+2	1,022831E+2	3,812500E+2	1,128112E+2	3,812500E+2	1,238041E+2	3,812500E+2	1,342224E+2	3,812500E+2	1,392194E+2
3,828125E+2	1,000987E+2	3,828125E+2	1,099558E+2	3,828125E+2	1,200373E+2	3,828125E+2	1,299884E+2	3,828125E+2	1,399751E+2	3,828125E+2	1,449642E+2	3,828125E+2	9,231216E+1	3,828125E+2	1,024542E+2	3,828125E+2	1,129099E+2	3,828125E+2	1,238870E+2	3,828125E+2	1,343097E+2	3,828125E+2	1,393097E+2
