Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
4,156250E+2	5,828661E+1	4,156250E+2	6,884288E+1	4,156250E+2	7,982239E+1	4,156250E+2	9,134096E+1	4,156250E+2	1,026817E+2	4,156250E+2	1,071202E+2	4,156250E+2	1,118610E+2
4,171875E+2	5,899400E+1	4,171875E+2	6,917816E+1	4,171875E+2	8,035814E+1	4,171875E+2	9,158927E+1	4,171875E+2	1,026979E+2	4,171875E+2	1,077794E+2	4,171875E+2	1,113875E+2
4,187500E+2	6,205255E+1	4,187500E+2	7,028800E+1	4,187500E+2	8,037987E+1	4,187500E+2	9,203139E+1	4,187500E+2	1,021783E+2	4,187500E+2	1,070507E+2	4,187500E+2	1,110674E+2
4,203125E+2	6,533544E+1	4,203125E+2	7,041183E+1	4,203125E+2	8,021283E+1	4,203125E+2	9,277640E+1	4,203125E+2	1,035597E+2	4,203125E+2	1,081439E+2	4,203125E+2	1,122908E+2
4,218750E+2	6,035229E+1	4,218750E+2	6,967824E+1	4,218750E+2	8,075129E+1	4,218750E+2	9,339045E+1	4,218750E+2	1,034625E+2	4,218750E+2	1,089615E+2	4,218750E+2	1,125010E+2
4,234375E+2	5,947783E+1	4,234375E+2	7,008471E+1	4,234375E+2	8,201053E+1	4,234375E+2	9,300767E+1	4,234375E+2	1,029602E+2	4,234375E+2	1,092122E+2	4,234375E+2	1,132518E+2
4,250000E+2	6,036391E+1	4,250000E+2	6,942088E+1	4,250000E+2	8,301132E+1	4,250000E+2	9,278126E+1	4,250000E+2	1,038051E+2	4,250000E+2	1,092354E+2	4,250000E+2	1,138417E+2
4,265625E+2	6,098352E+1	4,265625E+2	7,045342E+1	4,265625E+2	8,167563E+1	4,265625E+2	9,232585E+1	4,265625E+2	1,044262E+2	4,265625E+2	1,096718E+2	4,265625E+2	1,148224E+2
4,281250E+2	5,999323E+1	4,281250E+2	7,046108E+1	4,281250E+2	8,156140E+1	4,281250E+2	9,292337E+1	4,281250E+2	1,040666E+2	4,281250E+2	1,097693E+2	4,281250E+2	1,134702E+2
4,296875E+2	6,082697E+1	4,296875E+2	7,179761E+1	4,296875E+2	8,299643E+1	4,296875E+2	9,329445E+1	4,296875E+2	1,040138E+2	4,296875E+2	1,096242E+2	4,296875E+2	1,134236E+2
4,312500E+2	6,149182E+1	4,312500E+2	7,223566E+1	4,312500E+2	8,323655E+1	4,312500E+2	9,453786E+1	4,312500E+2	1,049056E+2	4,312500E+2	1,109259E+2	4,312500E+2	1,153580E+2
4,328125E+2	6,257446E+1	4,328125E+2	7,213542E+1	4,328125E+2	8,301802E+1	4,328125E+2	9,451640E+1	4,328125E+2	1,053500E+2	4,328125E+2	1,112596E+2	4,328125E+2	1,152256E+2
4,343750E+2	6,220565E+1	4,343750E+2	7,173017E+1	4,343750E+2	8,350499E+1	4,343750E+2	9,552218E+1	4,343750E+2	1,059259E+2	4,343750E+2	1,107891E+2	4,343750E+2	1,152166E+2
4,359375E+2	6,196640E+1	4,359375E+2	7,225391E+1	4,359375E+2	8,416502E+1	4,359375E+2	9,479842E+1	4,359375E+2	1,056456E+2	4,359375E+2	1,110531E+2	4,359375E+2	1,158759E+2
