Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,687500E+2	4,578117E-1	3,687500E+2	4,665608E-1	3,687500E+2	4,795829E-1	3,687500E+2	5,594189E-1	3,687500E+2	6,775475E-1	3,687500E+2	6,752025E-1	3,687500E+2	4,654081E-1	3,687500E+2	4,769862E-1	3,687500E+2	4,886962E-1	3,687500E+2	5,454773E-1	3,687500E+2	6,627753E-1	3,687500E+2	6,923621E-1
3,703125E+2	4,655976E-1	3,703125E+2	4,727113E-1	3,703125E+2	4,868711E-1	3,703125E+2	5,663738E-1	3,703125E+2	6,824440E-1	3,703125E+2	6,791974E-1	3,703125E+2	4,763091E-1	3,703125E+2	4,827906E-1	3,703125E+2	4,965673E-1	3,703125E+2	5,532666E-1	3,703125E+2	6,691219E-1	3,703125E+2	6,969420E-1
3,718750E+2	4,729102E-1	3,718750E+2	4,784559E-1	3,718750E+2	4,937099E-1	3,718750E+2	5,729260E-1	3,718750E+2	6,871146E-1	3,718750E+2	6,830215E-1	3,718750E+2	4,864141E-1	3,718750E+2	4,881612E-1	3,718750E+2	5,039316E-1	3,718750E+2	5,606119E-1	3,718750E+2	6,751799E-1	3,718750E+2	7,013391E-1
3,734375E+2	4,825444E-1	3,734375E+2	4,846423E-1	3,734375E+2	5,014131E-1	3,734375E+2	5,800944E-1	3,734375E+2	6,923175E-1	3,734375E+2	6,870545E-1	3,734375E+2	4,987243E-1	3,734375E+2	4,960129E-1	3,734375E+2	5,126886E-1	3,734375E+2	5,688045E-1	3,734375E+2	6,817311E-1	3,734375E+2	7,060848E-1
3,750000E+2	4,915756E-1	3,750000E+2	4,904310E-1	3,750000E+2	5,086159E-1	3,750000E+2	5,868448E-1	3,750000E+2	6,972772E-1	3,750000E+2	6,909187E-1	3,750000E+2	5,101223E-1	3,750000E+2	5,032953E-1	3,750000E+2	5,208615E-1	3,750000E+2	5,765104E-1	3,750000E+2	6,879775E-1	3,750000E+2	7,106386E-1
3,765625E+2	5,028962E-1	3,765625E+2	4,978341E-1	3,765625E+2	5,166500E-1	3,765625E+2	5,940271E-1	3,765625E+2	7,023751E-1	3,765625E+2	6,948612E-1	3,765625E+2	5,183097E-1	3,765625E+2	5,112731E-1	3,765625E+2	5,296757E-1	3,765625E+2	5,846780E-1	3,765625E+2	6,942802E-1	3,765625E+2	7,151554E-1
3,781250E+2	5,134522E-1	3,781250E+2	5,047296E-1	3,781250E+2	5,241485E-1	3,781250E+2	6,007711E-1	3,781250E+2	7,072298E-1	3,781250E+2	6,986344E-1	3,781250E+2	5,259110E-1	3,781250E+2	5,187052E-1	3,781250E+2	5,378837E-1	3,781250E+2	5,923509E-1	3,781250E+2	7,002864E-1	3,781250E+2	7,194879E-1
3,796875E+2	5,213985E-1	3,796875E+2	5,122805E-1	3,796875E+2	5,324193E-1	3,796875E+2	6,079460E-1	3,796875E+2	7,123088E-1	3,796875E+2	7,025376E-1	3,796875E+2	5,313659E-1	3,796875E+2	5,270641E-1	3,796875E+2	5,462850E-1	3,796875E+2	6,007838E-1	3,796875E+2	7,065548E-1	3,796875E+2	7,239552E-1
3,812500E+2	5,287880E-1	3,812500E+2	5,192653E-1	3,812500E+2	5,401159E-1	3,812500E+2	6,146562E-1	3,812500E+2	7,171375E-1	3,812500E+2	7,062675E-1	3,812500E+2	5,363790E-1	3,812500E+2	5,347704E-1	3,812500E+2	5,540485E-1	3,812500E+2	6,086618E-1	3,812500E+2	7,125154E-1	3,812500E+2	7,282328E-1
3,828125E+2	5,344763E-1	3,828125E+2	5,277688E-1	3,828125E+2	5,489091E-1	3,828125E+2	6,218916E-1	3,828125E+2	7,224178E-1	3,828125E+2	7,102874E-1	3,828125E+2	5,432274E-1	3,828125E+2	5,440823E-1	3,828125E+2	5,624612E-1	3,828125E+2	6,171373E-1	3,828125E+2	7,188455E-1	3,828125E+2	7,327103E-1
3,843750E+2	5,396982E-1	3,843750E+2	5,355869E-1	3,843750E+2	5,570258E-1	3,843750E+2	6,286636E-1	3,843750E+2	7,274345E-1	3,843750E+2	7,141287E-1	3,843750E+2	5,494632E-1	3,843750E+2	5,526360E-1	3,843750E+2	5,702170E-1	3,843750E+2	6,250507E-1	3,843750E+2	7,248602E-1	3,843750E+2	7,369965E-1
3,859375E+2	5,458881E-1	3,859375E+2	5,440676E-1	3,859375E+2	5,648916E-1	3,859375E+2	6,359874E-1	3,859375E+2	7,324185E-1	3,859375E+2	7,178332E-1	3,859375E+2	5,580836E-1	3,859375E+2	5,614299E-1	3,859375E+2	5,784668E-1	3,859375E+2	6,333742E-1	3,859375E+2	7,307867E-1	3,859375E+2	7,410959E-1
3,875000E+2	5,514158E-1	3,875000E+2	5,518871E-1	3,875000E+2	5,721323E-1	3,875000E+2	6,427978E-1	3,875000E+2	7,371491E-1	3,875000E+2	7,213675E-1	3,875000E+2	5,658872E-1	3,875000E+2	5,694471E-1	3,875000E+2	5,860323E-1	3,875000E+2	6,411203E-1	3,875000E+2	7,364161E-1	3,875000E+2	7,450173E-1
3,890625E+2	5,584537E-1	3,890625E+2	5,611359E-1	3,890625E+2	5,801519E-1	3,890625E+2	6,502018E-1	3,890625E+2	7,422089E-1	3,890625E+2	7,251227E-1	3,890625E+2	5,731231E-1	3,890625E+2	5,782598E-1	3,890625E+2	5,944538E-1	3,890625E+2	6,496351E-1	3,890625E+2	7,424120E-1	3,890625E+2	7,491062E-1
3,906250E+2	5,648663E-1	3,906250E+2	5,696193E-1	3,906250E+2	5,875017E-1	3,906250E+2	6,570844E-1	3,906250E+2	7,470106E-1	3,906250E+2	7,287078E-1	3,906250E+2	5,796534E-1	3,906250E+2	5,863173E-1	3,906250E+2	6,021524E-1	3,906250E+2	6,575439E-1	3,906250E+2	7,481026E-1	3,906250E+2	7,530188E-1
3,921875E+2	5,726081E-1	3,921875E+2	5,794091E-1	3,921875E+2	5,949057E-1	3,921875E+2	6,643498E-1	3,921875E+2	7,518280E-1	3,921875E+2	7,322087E-1	3,921875E+2	5,853591E-1	3,921875E+2	5,950583E-1	3,921875E+2	6,104214E-1	3,921875E+2	6,657823E-1	3,921875E+2	7,538459E-1	3,921875E+2	7,569215E-1
3,937500E+2	5,795911E-1	3,937500E+2	5,882257E-1	3,937500E+2	6,016605E-1	3,937500E+2	6,710563E-1	3,937500E+2	7,563840E-1	3,937500E+2	7,355367E-1	3,937500E+2	5,904200E-1	3,937500E+2	6,029168E-1	3,937500E+2	6,178921E-1	3,937500E+2	6,733826E-1	3,937500E+2	7,592787E-1	3,937500E+2	7,606422E-1
3,953125E+2	5,891617E-1	3,953125E+2	5,963192E-1	3,953125E+2	6,094755E-1	3,953125E+2	6,787364E-1	3,953125E+2	7,612952E-1	3,953125E+2	7,390731E-1	3,953125E+2	5,991131E-1	3,953125E+2	6,112625E-1	3,953125E+2	6,264253E-1	3,953125E+2	6,817034E-1	3,953125E+2	7,648469E-1	3,953125E+2	7,644187E-1
3,968750E+2	5,977722E-1	3,968750E+2	6,036220E-1	3,968750E+2	6,165506E-1	3,968750E+2	6,858146E-1	3,968750E+2	7,659466E-1	3,968750E+2	7,424432E-1	3,968750E+2	6,069407E-1	3,968750E+2	6,187153E-1	3,968750E+2	6,341112E-1	3,968750E+2	6,893776E-1	3,968750E+2	7,701239E-1	3,968750E+2	7,680275E-1
