Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,750000E+2	9,994642E+1	3,750000E+2	1,100015E+2	3,750000E+2	1,199938E+2	3,750000E+2	1,300012E+2	3,750000E+2	1,400048E+2	3,750000E+2	1,449888E+2	3,750000E+2	9,832587E+1	3,750000E+2	1,083543E+2	3,750000E+2	1,182708E+2	3,750000E+2	1,279838E+2	3,750000E+2	1,373208E+2	3,750000E+2	1,417478E+2
3,765625E+2	9,995526E+1	3,765625E+2	1,099941E+2	3,765625E+2	1,199939E+2	3,765625E+2	1,300017E+2	3,765625E+2	1,400044E+2	3,765625E+2	1,449878E+2	3,765625E+2	9,842610E+1	3,765625E+2	1,084362E+2	3,765625E+2	1,183558E+2	3,765625E+2	1,280600E+2	3,765625E+2	1,373831E+2	3,765625E+2	1,418034E+2
3,781250E+2	9,996409E+1	3,781250E+2	1,099866E+2	3,781250E+2	1,199940E+2	3,781250E+2	1,300022E+2	3,781250E+2	1,400039E+2	3,781250E+2	1,449868E+2	3,781250E+2	9,852520E+1	3,781250E+2	1,085173E+2	3,781250E+2	1,184399E+2	3,781250E+2	1,281355E+2	3,781250E+2	1,374450E+2	3,781250E+2	1,418588E+2
3,796875E+2	9,996479E+1	3,796875E+2	1,099839E+2	3,796875E+2	1,199933E+2	3,796875E+2	1,300043E+2	3,796875E+2	1,400043E+2	3,796875E+2	1,449866E+2	3,796875E+2	9,860754E+1	3,796875E+2	1,086051E+2	3,796875E+2	1,185276E+2	3,796875E+2	1,282156E+2	3,796875E+2	1,375080E+2	3,796875E+2	1,419151E+2
3,812500E+2	9,996548E+1	3,812500E+2	1,099811E+2	3,812500E+2	1,199925E+2	3,812500E+2	1,300065E+2	3,812500E+2	1,400047E+2	3,812500E+2	1,449864E+2	3,812500E+2	9,868910E+1	3,812500E+2	1,086920E+2	3,812500E+2	1,186144E+2	3,812500E+2	1,282950E+2	3,812500E+2	1,375705E+2	3,812500E+2	1,419710E+2
3,828125E+2	9,996122E+1	3,828125E+2	1,099853E+2	3,828125E+2	1,199976E+2	3,828125E+2	1,300041E+2	3,828125E+2	1,400065E+2	3,828125E+2	1,449875E+2	3,828125E+2	9,877454E+1	3,828125E+2	1,087807E+2	3,828125E+2	1,186998E+2	3,828125E+2	1,283716E+2	3,828125E+2	1,376320E+2	3,828125E+2	1,420262E+2
3,843750E+2	9,995696E+1	3,843750E+2	1,099895E+2	3,843750E+2	1,200027E+2	3,843750E+2	1,300017E+2	3,843750E+2	1,400082E+2	3,843750E+2	1,449887E+2	3,843750E+2	9,885914E+1	3,843750E+2	1,088686E+2	3,843750E+2	1,187843E+2	3,843750E+2	1,284475E+2	3,843750E+2	1,376930E+2	3,843750E+2	1,420811E+2
3,859375E+2	9,997322E+1	3,859375E+2	1,099854E+2	3,859375E+2	1,200029E+2	3,859375E+2	1,300030E+2	3,859375E+2	1,400083E+2	3,859375E+2	1,449880E+2	3,859375E+2	9,895495E+1	3,859375E+2	1,089609E+2	3,859375E+2	1,188704E+2	3,859375E+2	1,285228E+2	3,859375E+2	1,377507E+2	3,859375E+2	1,421327E+2
3,875000E+2	9,998945E+1	3,875000E+2	1,099814E+2	3,875000E+2	1,200031E+2	3,875000E+2	1,300042E+2	3,875000E+2	1,400085E+2	3,875000E+2	1,449874E+2	3,875000E+2	9,904971E+1	3,875000E+2	1,090523E+2	3,875000E+2	1,189556E+2	3,875000E+2	1,285976E+2	3,875000E+2	1,378080E+2	3,875000E+2	1,421840E+2
3,890625E+2	9,999018E+1	3,890625E+2	1,099785E+2	3,890625E+2	1,200039E+2	3,890625E+2	1,300026E+2	3,890625E+2	1,400087E+2	3,890625E+2	1,449864E+2	3,890625E+2	9,914477E+1	3,890625E+2	1,091369E+2	3,890625E+2	1,190407E+2	3,890625E+2	1,286718E+2	3,890625E+2	1,378646E+2	3,890625E+2	1,422334E+2
3,906250E+2	9,999091E+1	3,906250E+2	1,099756E+2	3,906250E+2	1,200046E+2	3,906250E+2	1,300009E+2	3,906250E+2	1,400089E+2	3,906250E+2	1,449855E+2	3,906250E+2	9,923879E+1	3,906250E+2	1,092207E+2	3,906250E+2	1,191250E+2	3,906250E+2	1,287454E+2	3,906250E+2	1,379208E+2	3,906250E+2	1,422826E+2
3,921875E+2	9,999130E+1	3,921875E+2	1,099909E+2	3,921875E+2	1,200023E+2	3,921875E+2	1,300032E+2	3,921875E+2	1,400111E+2	3,921875E+2	1,449869E+2	3,921875E+2	9,933062E+1	3,921875E+2	1,093125E+2	3,921875E+2	1,192154E+2	3,921875E+2	1,288234E+2	3,921875E+2	1,379793E+2	3,921875E+2	1,423342E+2
3,937500E+2	9,999169E+1	3,937500E+2	1,100061E+2	3,937500E+2	1,199999E+2	3,937500E+2	1,300055E+2	3,937500E+2	1,400133E+2	3,937500E+2	1,449883E+2	3,937500E+2	9,942149E+1	3,937500E+2	1,094034E+2	3,937500E+2	1,193049E+2	3,937500E+2	1,289007E+2	3,937500E+2	1,380373E+2	3,937500E+2	1,423856E+2
