Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
1,034375E+3	9,999624E+1
1,035937E+3	9,999652E+1
1,037500E+3	9,999681E+1
1,039062E+3	9,999442E+1
1,040625E+3	9,999204E+1
1,042187E+3	9,999084E+1
1,043750E+3	9,998964E+1
1,045312E+3	9,998630E+1
1,046875E+3	9,998295E+1
1,048437E+3	9,998459E+1
1,050000E+3	9,998622E+1
1,051562E+3	9,998714E+1
1,053125E+3	9,998806E+1
1,054687E+3	9,998598E+1
1,056250E+3	9,998390E+1
1,057812E+3	9,998185E+1
1,059375E+3	9,997980E+1
1,060937E+3	9,999285E+1
1,062500E+3	1,000059E+2
1,064062E+3	1,000303E+2
1,065625E+3	1,000546E+2
1,067187E+3	1,000525E+2
1,068750E+3	1,000503E+2
1,070312E+3	1,000337E+2
1,071875E+3	1,000171E+2
1,073437E+3	1,000112E+2
1,075000E+3	1,000053E+2
1,076562E+3	9,998489E+1
1,078125E+3	9,996446E+1
1,079687E+3	9,996410E+1
1,081250E+3	9,996374E+1
1,082812E+3	9,997884E+1
1,084375E+3	9,999391E+1
1,085937E+3	9,999782E+1
1,087500E+3	1,000017E+2
1,089062E+3	9,999973E+1
1,090625E+3	9,999772E+1
1,092187E+3	9,999294E+1
1,093750E+3	9,998816E+1
1,095312E+3	9,996952E+1
1,096875E+3	9,995085E+1
1,098437E+3	9,976135E+1
1,100000E+3	9,956762E+1
1,101562E+3	9,967626E+1
1,103125E+3	9,978355E+1
1,104687E+3	9,997272E+1
1,106250E+3	1,001579E+2
1,107812E+3	1,002654E+2
1,109375E+3	1,003717E+2
1,110937E+3	1,003991E+2
1,112500E+3	1,004265E+2
1,114062E+3	1,003737E+2
1,115625E+3	1,003207E+2
1,117187E+3	1,001008E+2
1,118750E+3	9,987516E+1
1,120312E+3	9,994172E+1
1,121875E+3	1,000078E+2
1,123437E+3	9,999430E+1
1,125000E+3	9,998081E+1
1,126562E+3	9,997135E+1
1,128125E+3	9,996189E+1
1,129687E+3	9,997610E+1
1,131250E+3	9,999028E+1
1,132812E+3	9,999720E+1
1,134375E+3	1,000041E+2
1,135937E+3	1,000046E+2
1,137500E+3	1,000050E+2
1,139062E+3	1,000002E+2
1,140625E+3	9,999530E+1
1,142187E+3	9,999678E+1
1,143750E+3	9,999826E+1
1,145312E+3	9,999744E+1
1,146875E+3	9,999663E+1
1,148437E+3	9,999546E+1
1,150000E+3	9,999428E+1
1,151562E+3	9,999411E+1
1,153125E+3	9,999393E+1
1,154687E+3	9,999388E+1
1,156250E+3	9,999382E+1
1,157812E+3	9,999337E+1
1,159375E+3	9,999293E+1
1,160937E+3	9,999356E+1
1,162500E+3	9,999419E+1
1,164062E+3	9,999479E+1
1,165625E+3	9,999539E+1
1,167187E+3	9,999512E+1
1,168750E+3	9,999484E+1
1,170312E+3	9,999423E+1
1,171875E+3	9,999363E+1
1,173437E+3	9,999581E+1
1,175000E+3	9,999799E+1
1,176562E+3	9,999494E+1
1,178125E+3	9,999189E+1
1,179687E+3	9,999355E+1
1,181250E+3	9,999520E+1
1,182812E+3	9,999630E+1
