Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
4,140625E+2	6,856192E+1	4,140625E+2	7,975115E+1	4,140625E+2	8,916892E+1	4,140625E+2	9,856197E+1	4,140625E+2	1,044635E+2	4,140625E+2	1,099487E+2	4,140625E+2	1,123999E+2
4,156250E+2	6,951050E+1	4,156250E+2	7,936746E+1	4,156250E+2	8,904540E+1	4,156250E+2	9,901471E+1	4,156250E+2	1,063055E+2	4,156250E+2	1,096419E+2	4,156250E+2	1,133990E+2
4,171875E+2	6,955725E+1	4,171875E+2	7,965112E+1	4,171875E+2	8,914481E+1	4,171875E+2	9,957629E+1	4,171875E+2	1,049630E+2	4,171875E+2	1,097491E+2	4,171875E+2	1,133435E+2
4,187500E+2	7,544597E+1	4,187500E+2	8,130057E+1	4,187500E+2	9,096077E+1	4,187500E+2	9,963324E+1	4,187500E+2	1,058783E+2	4,187500E+2	1,105736E+2	4,187500E+2	1,126754E+2
4,203125E+2	7,918613E+1	4,203125E+2	8,148183E+1	4,203125E+2	9,123456E+1	4,203125E+2	9,878465E+1	4,203125E+2	1,066193E+2	4,203125E+2	1,106311E+2	4,203125E+2	1,137907E+2
4,218750E+2	7,241355E+1	4,218750E+2	8,080597E+1	4,218750E+2	9,039691E+1	4,218750E+2	9,918391E+1	4,218750E+2	1,074143E+2	4,218750E+2	1,096148E+2	4,218750E+2	1,139003E+2
4,234375E+2	7,137115E+1	4,234375E+2	8,122028E+1	4,234375E+2	9,006795E+1	4,234375E+2	9,928064E+1	4,234375E+2	1,065971E+2	4,234375E+2	1,107283E+2	4,234375E+2	1,138956E+2
4,250000E+2	7,091942E+1	4,250000E+2	8,070764E+1	4,250000E+2	8,909776E+1	4,250000E+2	9,769315E+1	4,250000E+2	1,074864E+2	4,250000E+2	1,120752E+2	4,250000E+2	1,148711E+2
4,265625E+2	6,949534E+1	4,265625E+2	8,045318E+1	4,265625E+2	9,032156E+1	4,265625E+2	9,946351E+1	4,265625E+2	1,071516E+2	4,265625E+2	1,120012E+2	4,265625E+2	1,160263E+2
4,281250E+2	6,938814E+1	4,281250E+2	8,101158E+1	4,281250E+2	9,123334E+1	4,281250E+2	9,960399E+1	4,281250E+2	1,074600E+2	4,281250E+2	1,118333E+2	4,281250E+2	1,157192E+2
4,296875E+2	6,962917E+1	4,296875E+2	8,037526E+1	4,296875E+2	9,106813E+1	4,296875E+2	9,998725E+1	4,296875E+2	1,068059E+2	4,296875E+2	1,105742E+2	4,296875E+2	1,161890E+2
4,312500E+2	6,937393E+1	4,312500E+2	8,026868E+1	4,312500E+2	8,992685E+1	4,312500E+2	9,902442E+1	4,312500E+2	1,070998E+2	4,312500E+2	1,108230E+2	4,312500E+2	1,161884E+2
4,328125E+2	6,976561E+1	4,328125E+2	8,082081E+1	4,328125E+2	8,979342E+1	4,328125E+2	9,964967E+1	4,328125E+2	1,070940E+2	4,328125E+2	1,114673E+2	4,328125E+2	1,162995E+2
4,343750E+2	7,030764E+1	4,343750E+2	8,153961E+1	4,343750E+2	9,029609E+1	4,343750E+2	1,001418E+2	4,343750E+2	1,080058E+2	4,343750E+2	1,124496E+2	4,343750E+2	1,163881E+2
4,359375E+2	7,059835E+1	4,359375E+2	8,185032E+1	4,359375E+2	9,042726E+1	4,359375E+2	1,004808E+2	4,359375E+2	1,078825E+2	4,359375E+2	1,116197E+2	4,359375E+2	1,166282E+2
4,375000E+2	7,047749E+1	4,375000E+2	8,084768E+1	4,375000E+2	8,951586E+1	4,375000E+2	9,973646E+1	4,375000E+2	1,074600E+2	4,375000E+2	1,123284E+2	4,375000E+2	1,169248E+2
4,390625E+2	6,887346E+1	4,390625E+2	8,046199E+1	4,390625E+2	8,964807E+1	4,390625E+2	9,935663E+1	4,390625E+2	1,077785E+2	4,390625E+2	1,120014E+2	4,390625E+2	1,170999E+2
4,406250E+2	7,034879E+1	4,406250E+2	7,978936E+1	4,406250E+2	8,942666E+1	4,406250E+2	1,001856E+2	4,406250E+2	1,082414E+2	4,406250E+2	1,120753E+2	4,406250E+2	1,159766E+2
4,421875E+2	7,009663E+1	4,421875E+2	7,832839E+1	4,421875E+2	8,942022E+1	4,421875E+2	9,939314E+1	4,421875E+2	1,082107E+2	4,421875E+2	1,127412E+2	4,421875E+2	1,160640E+2
4,437500E+2	6,898483E+1	4,437500E+2	7,921386E+1	4,437500E+2	8,979236E+1	4,437500E+2	9,913679E+1	4,437500E+2	1,073907E+2	4,437500E+2	1,129391E+2	4,437500E+2	1,168939E+2
4,453125E+2	6,956518E+1	4,453125E+2	7,959801E+1	4,453125E+2	8,856950E+1	4,453125E+2	9,880034E+1	4,453125E+2	1,074342E+2	4,453125E+2	1,130920E+2	4,453125E+2	1,158334E+2
4,468750E+2	6,874978E+1	4,468750E+2	7,873494E+1	4,468750E+2	8,873082E+1	4,468750E+2	9,856527E+1	4,468750E+2	1,082001E+2	4,468750E+2	1,128277E+2	4,468750E+2	1,158930E+2
4,484375E+2	6,865562E+1	4,484375E+2	7,852094E+1	4,484375E+2	8,905849E+1	4,484375E+2	9,849104E+1	4,484375E+2	1,068792E+2	4,484375E+2	1,119404E+2	4,484375E+2	1,165739E+2
