Partie réelle               Partie imaginaire
535.199477163879            268.114044678179
535.268789947057            267.531235907422
535.33862013685            266.950853791508
535.408964530052            266.372889690776
535.479819925615            265.797335032443
535.551183124584            265.224181309949
535.623050930043            264.653420082309
535.695420147056            264.085042973474
535.768287582609            263.519041671692
535.841650045546            262.955407928886
535.915504346519            262.394133560023
535.989847297922            261.835210442507
536.064675713838            261.278630515562
536.139986409977            260.724385779636
536.215776203622            260.172468295794
536.292041913566            259.622870185133
536.368780360059            259.075583628194
536.445988364747            258.530600864381
536.523662750616            257.987914191387
536.601800341933            257.447515964625
536.680397964191            256.909398596662
536.759452444052            256.373554556665
536.838960609286            255.839976369844
536.918919288718            255.308656616908
536.999325312172            254.779587933517
537.080175510412            254.252763009754
537.161466715085            253.728174589581
537.24319575867            253.205815470321
537.325359474416            252.685678502133
537.407954696292            252.167756587491
537.490978258925            251.652042680678
537.574426997553            251.13852978727
537.658297747963            250.627210963639
537.742587346439            250.118079316453
537.827292629709            249.611128002179
537.912410434887            249.106350226594
537.997937599424            248.603739244305
538.083870961048            248.10328835826
538.170207357716            247.604990919275
538.256943627558            247.108840325565
538.344076608824            246.614830022269
538.431603139835            246.122953500991
538.519520058922            245.633204299338
538.607824204383            245.145576000464
538.696512414428            244.660062232618
538.785581527123            244.176656668697
538.875028380347            243.695353025799
538.964849811734            243.216145064787
539.055042658624            242.739026589847
539.145603758016            242.263991448058
539.236529946514            241.791033528965
539.327818060278            241.320146764145
539.419464934977            240.851325126798
539.511467405738            240.384562631314
539.603822307095            239.919853332867
539.696526472946            239.457191327003
539.7895767365            238.996570749228
539.882969930232            238.537985774605
539.976702885835            238.081430617352
540.070772434173            237.626899530442
540.165175405233            237.174386805213
540.25990862808            236.723886770969
540.354968930813            236.275393794598
540.450353140514            235.82890228018
540.54605808321            235.384406668608
540.64208058382            234.941901437207
540.738417466119            234.50138109936
540.835065552686            234.062840204128
540.932021664868            233.626273335887
541.02928262273            233.191675113952
541.126845245018            232.75904019222
541.224706349109            232.3283632588
541.322862750979            231.899639035659
541.421311265152            231.472862278262
541.520048704664            231.048027775218
541.619071881022            230.625130347931
541.718377604162            230.204164850248
541.817962682407            229.785126168114
541.917823922434            229.368009219229
542.017958129228            228.952808952704
542.118362106048            228.539520348726
542.219032654387            228.12813841822
542.319966573932            227.718658202514
542.421160662532            227.31107477301
542.522611716155            226.905383230851
542.624316528859            226.501578706599
542.726271892746            226.099656359909
542.828474597936            225.699611379204
542.930921432527            225.301438981361
543.033609182563            224.905134411387
543.136534631995            224.510692942109
543.239694562654            224.118109873855
543.343085754212            223.72738053415
543.446704984155            223.338500277403
543.550549027745            222.951464484598
543.654614657992            222.566268562995
543.758898645621            222.182907945823
