Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
4,156250E+2	2,550412E-1	4,156250E+2	-2,850537E-1	4,156250E+2	2,494734E-1	4,156250E+2	-2,816348E-1	4,156250E+2	2,540371E-1	4,156250E+2	-2,833793E-1	4,156250E+2	2,704939E-1	4,156250E+2	-2,845603E-1
4,171875E+2	2,486177E-1	4,171875E+2	-2,511458E-1	4,171875E+2	2,530011E-1	4,171875E+2	-2,537468E-1	4,171875E+2	2,525493E-1	4,171875E+2	-2,538744E-1	4,171875E+2	2,774264E-1	4,171875E+2	-2,562629E-1
4,187500E+2	2,560467E-1	4,187500E+2	-1,993443E-1	4,187500E+2	2,577479E-1	4,187500E+2	-2,125589E-1	4,187500E+2	2,600207E-1	4,187500E+2	-2,168378E-1	4,187500E+2	2,787199E-1	4,187500E+2	-2,258099E-1
4,203125E+2	2,587295E-1	4,203125E+2	-2,069961E-1	4,203125E+2	2,585674E-1	4,203125E+2	-1,978823E-1	4,203125E+2	2,598955E-1	4,203125E+2	-1,933547E-1	4,203125E+2	2,785346E-1	4,203125E+2	-1,972725E-1
4,218750E+2	2,601181E-1	4,218750E+2	-2,004016E-1	4,218750E+2	2,669665E-1	4,218750E+2	-1,705849E-1	4,218750E+2	2,660883E-1	4,218750E+2	-1,715399E-1	4,218750E+2	2,867537E-1	4,218750E+2	-1,637935E-1
4,234375E+2	2,701504E-1	4,234375E+2	-1,428284E-1	4,234375E+2	2,686787E-1	4,234375E+2	-1,384001E-1	4,234375E+2	2,697543E-1	4,234375E+2	-1,294726E-1	4,234375E+2	2,880592E-1	4,234375E+2	-1,335886E-1
4,250000E+2	2,673489E-1	4,250000E+2	-1,079042E-1	4,250000E+2	2,747465E-1	4,250000E+2	-9,732396E-2	4,250000E+2	2,748971E-1	4,250000E+2	-1,042462E-1	4,250000E+2	2,916876E-1	4,250000E+2	-1,093187E-1
4,265625E+2	2,675328E-1	4,265625E+2	-7,822128E-2	4,265625E+2	2,765883E-1	4,265625E+2	-7,561140E-2	4,265625E+2	2,796266E-1	4,265625E+2	-7,007136E-2	4,265625E+2	2,966678E-1	4,265625E+2	-7,441547E-2
4,281250E+2	2,835917E-1	4,281250E+2	-5,024206E-2	4,281250E+2	2,815499E-1	4,281250E+2	-4,607998E-2	4,281250E+2	2,855067E-1	4,281250E+2	-3,876677E-2	4,281250E+2	2,974335E-1	4,281250E+2	-4,817712E-2
4,296875E+2	2,888413E-1	4,296875E+2	-1,930362E-2	4,296875E+2	2,863951E-1	4,296875E+2	-1,521683E-2	4,296875E+2	2,888157E-1	4,296875E+2	-1,468139E-2	4,296875E+2	3,068561E-1	4,296875E+2	-1,726529E-2
4,312500E+2	2,935811E-1	4,312500E+2	9,008063E-3	4,312500E+2	2,921734E-1	4,312500E+2	8,444726E-3	4,312500E+2	2,958539E-1	4,312500E+2	1,455286E-2	4,312500E+2	3,107258E-1	4,312500E+2	1,472779E-2
4,328125E+2	2,955395E-1	4,328125E+2	4,218839E-2	4,328125E+2	2,991872E-1	4,328125E+2	5,371028E-2	4,328125E+2	3,038192E-1	4,328125E+2	5,303864E-2	4,328125E+2	3,175165E-1	4,328125E+2	5,087879E-2
4,343750E+2	3,002852E-1	4,343750E+2	7,775021E-2	4,343750E+2	3,038541E-1	4,343750E+2	8,057341E-2	4,343750E+2	3,046748E-1	4,343750E+2	8,069547E-2	4,343750E+2	3,276606E-1	4,343750E+2	8,180152E-2
4,359375E+2	3,097510E-1	4,359375E+2	1,110235E-1	4,359375E+2	3,057613E-1	4,359375E+2	1,145210E-1	4,359375E+2	3,075853E-1	4,359375E+2	1,109397E-1	4,359375E+2	3,304011E-1	4,359375E+2	1,134866E-1
4,375000E+2	3,136998E-1	4,375000E+2	1,490637E-1	4,375000E+2	3,131153E-1	4,375000E+2	1,480896E-1	4,375000E+2	3,174387E-1	4,375000E+2	1,561270E-1	4,375000E+2	3,348639E-1	4,375000E+2	1,470401E-1
4,390625E+2	3,194678E-1	4,390625E+2	1,783883E-1	4,390625E+2	3,170929E-1	4,390625E+2	1,748291E-1	4,390625E+2	3,228793E-1	4,390625E+2	1,820852E-1	4,390625E+2	3,391265E-1	4,390625E+2	1,775922E-1
4,406250E+2	3,288852E-1	4,406250E+2	2,128434E-1	4,406250E+2	3,285760E-1	4,406250E+2	2,131584E-1	4,406250E+2	3,297606E-1	4,406250E+2	2,129345E-1	4,406250E+2	3,441651E-1	4,406250E+2	2,058545E-1
4,421875E+2	3,312554E-1	4,421875E+2	2,411949E-1	4,421875E+2	3,294675E-1	4,421875E+2	2,458866E-1	4,421875E+2	3,304496E-1	4,421875E+2	2,418606E-1	4,421875E+2	3,501305E-1	4,421875E+2	2,443671E-1
4,437500E+2	3,329147E-1	4,437500E+2	2,813381E-1	4,437500E+2	3,348928E-1	4,437500E+2	2,833295E-1	4,437500E+2	3,347064E-1	4,437500E+2	2,851969E-1	4,437500E+2	3,529071E-1	4,437500E+2	2,773440E-1
4,453125E+2	3,392648E-1	4,453125E+2	3,116349E-1	4,453125E+2	3,372844E-1	4,453125E+2	3,137710E-1	4,453125E+2	3,391064E-1	4,453125E+2	3,169695E-1	4,453125E+2	3,583604E-1	4,453125E+2	3,171862E-1
