Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
5,531250E+2	6,173410E+1	5,531250E+2	7,166337E+1	5,531250E+2	8,230879E+1	5,531250E+2	9,209527E+1
5,546875E+2	6,221330E+1	5,546875E+2	7,145676E+1	5,546875E+2	8,217324E+1	5,546875E+2	9,196612E+1
5,562500E+2	6,190645E+1	5,562500E+2	7,249542E+1	5,562500E+2	8,175098E+1	5,562500E+2	9,198016E+1
5,578125E+2	6,216679E+1	5,578125E+2	7,333830E+1	5,578125E+2	8,243791E+1	5,578125E+2	9,362196E+1
5,593750E+2	6,251599E+1	5,593750E+2	7,225543E+1	5,593750E+2	8,210714E+1	5,593750E+2	9,388126E+1
5,609375E+2	6,308661E+1	5,609375E+2	7,196547E+1	5,609375E+2	8,151696E+1	5,609375E+2	9,369929E+1
5,625000E+2	6,334657E+1	5,625000E+2	7,329184E+1	5,625000E+2	8,320391E+1	5,625000E+2	9,337725E+1
5,640625E+2	6,200946E+1	5,640625E+2	7,428785E+1	5,640625E+2	8,423424E+1	5,640625E+2	9,322533E+1
5,656250E+2	6,250139E+1	5,656250E+2	7,380613E+1	5,656250E+2	8,444659E+1	5,656250E+2	9,380611E+1
5,671875E+2	6,352391E+1	5,671875E+2	7,283784E+1	5,671875E+2	8,335363E+1	5,671875E+2	9,360958E+1
5,687500E+2	6,292321E+1	5,687500E+2	7,314162E+1	5,687500E+2	8,319864E+1	5,687500E+2	9,229802E+1
5,703125E+2	6,267828E+1	5,703125E+2	7,332366E+1	5,703125E+2	8,337085E+1	5,703125E+2	9,379468E+1
5,718750E+2	6,317849E+1	5,718750E+2	7,382418E+1	5,718750E+2	8,344984E+1	5,718750E+2	9,289909E+1
5,734375E+2	6,230173E+1	5,734375E+2	7,403994E+1	5,734375E+2	8,392105E+1	5,734375E+2	9,335928E+1
5,750000E+2	6,355687E+1	5,750000E+2	7,299193E+1	5,750000E+2	8,344873E+1	5,750000E+2	9,351137E+1
5,765625E+2	6,371047E+1	5,765625E+2	7,262968E+1	5,765625E+2	8,364425E+1	5,765625E+2	9,366391E+1
5,781250E+2	6,396251E+1	5,781250E+2	7,352351E+1	5,781250E+2	8,473116E+1	5,781250E+2	9,349353E+1
5,796875E+2	6,406126E+1	5,796875E+2	7,289026E+1	5,796875E+2	8,457180E+1	5,796875E+2	9,403503E+1
5,812500E+2	6,362594E+1	5,812500E+2	7,374203E+1	5,812500E+2	8,424830E+1	5,812500E+2	9,478370E+1
5,828125E+2	6,528751E+1	5,828125E+2	7,438782E+1	5,828125E+2	8,462782E+1	5,828125E+2	9,432037E+1
5,843750E+2	6,513702E+1	5,843750E+2	7,417876E+1	5,843750E+2	8,441325E+1	5,843750E+2	9,396250E+1
5,859375E+2	6,439352E+1	5,859375E+2	7,406469E+1	5,859375E+2	8,397387E+1	5,859375E+2	9,409949E+1
5,875000E+2	6,481031E+1	5,875000E+2	7,310465E+1	5,875000E+2	8,403192E+1	5,875000E+2	9,427662E+1
5,890625E+2	6,505156E+1	5,890625E+2	7,341373E+1	5,890625E+2	8,486014E+1	5,890625E+2	9,450260E+1
5,906250E+2	6,459951E+1	5,906250E+2	7,458004E+1	5,906250E+2	8,422069E+1	5,906250E+2	9,421999E+1
5,921875E+2	6,436823E+1	5,921875E+2	7,573442E+1	5,921875E+2	8,383462E+1	5,921875E+2	9,480254E+1
5,937500E+2	6,513909E+1	5,937500E+2	7,593394E+1	5,937500E+2	8,486454E+1	5,937500E+2	9,582992E+1
5,953125E+2	6,503314E+1	5,953125E+2	7,610214E+1	5,953125E+2	8,607101E+1	5,953125E+2	9,589868E+1
5,968750E+2	6,651943E+1	5,968750E+2	7,542753E+1	5,968750E+2	8,736401E+1	5,968750E+2	9,555595E+1
5,984375E+2	6,754851E+1	5,984375E+2	7,688898E+1	5,984375E+2	8,660552E+1	5,984375E+2	9,573393E+1
6,000000E+2	6,877539E+1	6,000000E+2	7,694719E+1	6,000000E+2	8,612050E+1	6,000000E+2	9,672148E+1
6,015625E+2	6,793355E+1	6,015625E+2	7,675047E+1	6,015625E+2	8,584343E+1	6,015625E+2	9,721504E+1
6,031250E+2	6,825655E+1	6,031250E+2	7,709929E+1	6,031250E+2	8,567038E+1	6,031250E+2	9,692753E+1
6,046875E+2	6,760070E+1	6,046875E+2	7,685544E+1	6,046875E+2	8,738049E+1	6,046875E+2	9,591921E+1
6,062500E+2	6,758407E+1	6,062500E+2	7,613773E+1	6,062500E+2	8,801496E+1	6,062500E+2	9,656533E+1
6,078125E+2	6,742218E+1	6,078125E+2	7,768664E+1	6,078125E+2	8,769886E+1	6,078125E+2	9,815999E+1
6,093750E+2	6,752663E+1	6,093750E+2	7,870356E+1	6,093750E+2	8,794314E+1	6,093750E+2	9,899996E+1
6,109375E+2	6,856104E+1	6,109375E+2	7,819359E+1	6,109375E+2	8,779123E+1	6,109375E+2	9,912114E+1
6,125000E+2	6,842616E+1	6,125000E+2	7,957032E+1	6,125000E+2	8,874419E+1	6,125000E+2	9,863200E+1
6,140625E+2	6,854269E+1	6,140625E+2	7,949162E+1	6,140625E+2	8,867168E+1	6,140625E+2	1,000728E+2
6,156250E+2	7,046885E+1	6,156250E+2	7,946810E+1	6,156250E+2	8,908490E+1	6,156250E+2	1,010540E+2
6,171875E+2	7,057233E+1	6,171875E+2	7,849349E+1	6,171875E+2	8,983858E+1	6,171875E+2	1,010645E+2
6,187500E+2	7,007374E+1	6,187500E+2	7,888768E+1	6,187500E+2	9,145097E+1	6,187500E+2	1,012582E+2
6,203125E+2	7,035451E+1	6,203125E+2	8,026168E+1	6,203125E+2	9,194587E+1	6,203125E+2	1,000159E+2
6,218750E+2	7,208849E+1	6,218750E+2	8,092000E+1	6,218750E+2	9,256424E+1	6,218750E+2	1,006336E+2
